main_speaker,title,speaker_occupation,duration,languages,views,comments
Thomas Pogge,Medicine for the 99 percent,Philosopher,1085,0,242251,119
Antonio Damasio,The quest to understand consciousness,Neuroscientist,1122,32,1692225,363
Sheila Nirenberg,A prosthetic eye to treat blindness,Neuroscientist,601,29,393726,110
Daniel Goldstein,The battle between your present and future self,Behavioral economist,959,36,2119412,231
Karen Tse,How to stop torture,Anti-torture activist,763,32,532416,108
Alberto Cairo,There are no scraps of men,Physiotherapist,1142,28,802688,168
AJ Jacobs,How healthy living nearly killed me,Author,522,40,1468930,166
Jane Fonda,Life's third act,Actor and activist,680,41,2370111,295
Paddy Ashdown,The global power shift,Diplomat,1109,31,986648,270
Sebastian Wernicke,"1,000 TED Talks in six words",Data scientist,454,37,618729,161
Nate Garvis,"Change our culture, change our world",Civic thought leader,632,0,125050,70
Michelle Borkin,Can astronomers help doctors?,physicist,581,0,161462,41
Tyler Cowen,Be suspicious of simple stories,Economist,957,11,277326,211
"Lauren Hodge, Shree Bose + Naomi Shah",Award-winning teenage science in action,Science fair winner,976,25,913084,170
