main_speaker,title,speaker_occupation,duration,languages,views,comments
Takaharu Tezuka,The best kindergarten you_—Ève ever seen,Architect,587,39,4160772,169
Paul Tudor Jones II,Why we need to rethink capitalism,Investor,591,29,1762082,237
Nathalie Cabrol,How Mars might hold the secret to the origin of life,Planetary explorer,962,27,1131041,149
Gary Haugen,The hidden reason for poverty the world needs to address now,Human rights attorney,1328,30,1674355,305
Jedidah Isler,"How I fell in love with quasars, blazars and our incredible universe",Astrophysicist,259,32,1143028,38
Chris Milk,How virtual reality can create the ultimate empathy machine,Immersive storyteller,616,30,1492275,101
Clint Smith,How to raise a black son in America,"Poet, educator",312,34,1908266,171
Nizar Ibrahim,How we unearthed the Spinosaurus,Paleontologist,362,33,931845,29
Nick Bostrom,What happens when our computers get smarter than we are?,Philosopher,991,29,2832581,363
Greg Gage,How to control someone else's arm with your brain,Neuroscientist,352,36,4614317,174
Sophie Scott,Why we laugh,"Neuroscientist, stand-up comic",1024,35,2782822,62
Alice Goffman,How we're priming some kids for college _—” and others for prison,Urban sociologist,964,26,1528815,206
Pamela Ronald,The case for engineering our food,Plant geneticist,1069,24,1512972,486
Abe Davis,New video technology that reveals an object's hidden properties,Computer scientist,1077,26,1386424,104
Bill T. Jones,"The dancer, the singer, the cellist ... and a moment of creative magic","Director/choreographer, dancer",386,38,1257079,100
Tal Danino,Programming bacteria to detect cancer (and maybe treat it),Synthetic biologist,251,35,1225763,50
Dawn Landes,"A song for my hero, the woman who rowed into a hurricane",Singer-songwriter,566,28,1160841,33
Anand Varma,The first 21 days of a bee_—Ès life,Photographer,366,35,2206061,82
Elora Hardy,"Magical houses, made of bamboo",Sustainable designer,617,35,3351267,131
Roman Mars,Why city flags may be the worst-designed thing you've never noticed,Digital storyteller,1098,23,4597270,109
The Lady Lifers,A moving song from women in prison for life,Inmates,576,29,1310078,170
Martine Rothblatt,"My daughter, my wife, our robot, and the quest for immortality",Transhumanist,1264,23,1304737,64
Cosmin Mihaiu,Physical therapy is boring -- play a game instead,Physical therapy entrepreneur,357,32,1373382,73
Steven Wise,Chimps have feelings and thoughts. They should also have rights,Animal rights lawyer,857,29,1028548,240
Esther Perel,Rethinking infidelity ... a talk for anyone who has ever loved,Relationship therapist,1291,32,8218896,370
Chris Burkard,The joy of surfing in ice-cold water,Surf photographer,582,30,1773697,69
Jeffrey Brown,How we cut youth violence in Boston by 79 percent,Pastor,1083,20,1049652,72
Yassmin Abdel-Magied,What does my headscarf mean to you?,"Mechanical engineer, social advocate",841,31,1863929,271
Sara Seager,The search for planets beyond our solar system,Exoplanet expert,974,30,1365646,93
Jimmy Nelson,Gorgeous portraits of the world's vanishing people,Last tribes photographer,1038,27,1339843,63
Bill Gross,The single biggest reason why startups succeed,Idea guy,400,42,3811316,166
Laura Schulz,The surprisingly logical minds of babies,Cognitive scientist,1218,29,1617977,92
Tony Fadell,The first secret of design is ... noticing,Product creator,1001,29,2006050,92
Trevor Aaronson,How this FBI strategy is actually creating US-based terrorists,Journalist,562,22,1252289,141
Linda Cliatt-Wayman,"How to fix a broken school? Lead fearlessly, love hard",High school principal,1027,31,1617292,145
Suki Kim,This is what it's like to go undercover in North Korea,Writer,752,35,3460338,214
Sarah Jones,"One woman, five characters, and a sex lesson from the future",Polymorphic playwright,1528,18,1531675,45
Donald Hoffman,Do we see reality as it is?,Cognitive scientist,1310,30,2471075,378
Lee Mokobe,A powerful poem about what it feels like to be transgender,Poet,261,32,1175629,59
Rana el Kaliouby,This app knows how you feel -- from the look on your face,Computer scientist,664,27,1407692,95
Margaret Heffernan,Forget the pecking order at work,Management thinker,947,32,2362727,112
Steve Silberman,The forgotten history of autism,Writer and editor,828,34,1476377,288
LaToya Ruby Frazier,A visual history of inequality in industrial America,Photographer,303,28,1165313,43
Joey Alexander,An 11-year-old prodigy performs old-school jazz,Jazz pianist,388,41,2155099,75
Roxane Gay,Confessions of a bad feminist,Writer,688,29,1453205,165
Chip Kidd,The art of first impressions -- in design and life,Graphic designer,1137,28,1711049,52
Maryn McKenna,What do we do when antibiotics don't work any more?,Public health journalist,1019,32,1532875,198
Chris Urmson,How a driverless car sees the road,Roboticist,929,26,2042978,186
Dame Ellen MacArthur,The surprising thing I learned sailing solo around the world,Circular economy advocate,1007,26,1566602,66
Jimmy Carter,Why I believe the mistreatment of women is the number one human rights abuseÎ_,Peace activist,996,31,1388335,227
Latif Nasser,The amazing story of the man who gave us modern pain relief,Radio researcher,831,27,1531606,108
Gayle Tzemach Lemmon,Meet the women fighting on the front lines of an American war,Reporter,685,22,1139487,78
Rajiv Maheswaran,The math behind basketball's wildest moves,Researcher,728,21,1905680,42
Memory Banda,A warrior_—Ès cry against child marriage,Activist,758,35,1241223,59
Johann Hari,Everything you think you know about addiction is wrong,Journalist,882,35,7841509,767
Ash Beckham,When to take a stand -- and when to let it go,Equality advocate,935,22,1458290,120
Noy Thrupkaew,Human trafficking is all around you. This is how it works,Global journalist,1131,24,1591696,91
Aspen Baker,A better way to talk about abortion,Listener,658,31,1588477,201
Alec Soth + Stacey Baker,This is what enduring love looks like,Photo editor,618,33,1780746,69
Salvatore Iaconesi,What happened when I open-sourced my brain cancer,Open-source engineer and artist,652,30,1126129,22
Marlene Zuk,What we learn from insects' sex lives,Evolutionary biologist,718,29,1441565,27
Jon Ronson,When online shaming goes too far,Writer and filmmaker,1031,26,2603397,138
Alaa Murabit,What my religion really says about women,Peace expert,733,34,2312512,316
John Green,The nerd's guide to learning everything online,Writer,1090,26,3361105,143
eL Seed,Street art with a message of hope and peace,Artist,339,46,1398751,49
Yuval Noah Harari,What explains the rise of humans?,Historian,1028,34,2556755,524
Benedetta Berti,The surprising way groups like ISIS stay in power,International policy analyst,338,33,1947342,265
Rich Benjamin,My road trip through the whitest towns in America,Social observer,781,25,1999097,244
Matt Kenyon,A secret memorial for civilian casualties,New media artist,415,25,829988,33
Patience Mthunzi,Could we cure HIV with lasers?,Laser scientist,265,37,1203056,65
Alix Generous,How I learned to communicate my inner life with Asperger's,Advocate,626,29,1591495,55
Manuel Lima,A visual history of human knowledge,Data visualization researcher,769,28,1710873,79
Tony Wyss-Coray,"How young blood might help reverse aging. Yes, really",Brain scientist,815,24,1488893,142
Christopher Soghoian,How to avoid surveillance ... with the phone in your pocket,Privacy researcher and activist,376,30,1266485,71
Dustin Yellin,A journey through the mind of an artist,Sculptor ,452,30,1671043,36
Jim Al-Khalili,How quantum biology might explain life_—Ès biggest questions,Quantum physicist,969,29,1503884,119
Seth Berkley,The troubling reason why vaccines are made too late ... if they're made at all,Vaccine visionary,437,28,990084,21
Robin Murphy,These robots come to the rescue after a disaster,Disaster roboticist,539,24,983682,31
Yves Morieux,How too many rules at work keep you from getting things done,Consultant,998,34,1852632,58
Wendy Freedman,This telescope might show us the beginning of the universe,Astronomer,938,26,1272185,62
Elizabeth Nyamayaro,An invitation to men who want a better world for women,Political scientist,759,30,1272389,68
Jamie Bartlett,How the mysterious dark net is going mainstream,Social media analyst,855,28,2061368,109
Jim Simons,The mathematician who cracked Wall Street,"Philanthropist, mathematician",1383,23,1705702,57
Alan Eustace,I leapt from the stratosphere. Here's how I did it,Stratospheric explorer,868,21,1437261,80
Barry Schwartz,The way we think about work is broken,Psychologist,482,33,2527133,97
BJ Miller,What really matters at the end of life,Palliative care physician,1147,31,6214152,244
Billie Jean King,This tennis icon paved the way for women in sports,Tennis legend and activist,965,23,947562,21
David Rothkopf,How fear drives American politics,Foreign policy strategist,1080,20,1215662,74
Mia Birdsong,The story we tell about poverty isn't true,Family activist,916,27,1612561,64
Michael Kimmel,Why gender equality is good for everyone _—” men included,Sociologist,958,29,1447861,164
Mandy Len Catron,Falling in love is the easy part,Writer,833,32,3098476,149
Scott Dinsmore,How to find work you love,"Writer, traveler",1067,25,4811180,181
Sakena Yacoobi,How I stopped the Taliban from shutting down my school,Education activist,1023,29,1371548,77
Frances Larson,Why public beheadings get millions of views,Anthropologist,957,25,1108371,90
Mary Robinson,Why climate change is a threat to human rights,Global leader,1307,24,1126459,128
Robin Morgan,4 powerful poems about Parkinson's and growing older,Poet and activist,717,24,1004539,12
Samuel Cohen,Alzheimer's is not normal aging _—” and we can cure it,Research scientist,473,39,1506693,120
Taiye Selasi,"Don't ask where I'm from, ask where I'm a local",Author,991,28,2141928,162
Mac Stone,Stunning photos of the endangered Everglades,Photographer,1155,26,1155507,32
Martin Pistorius,How my mind came back to life _—” and no one knew,"Author, designer",848,29,2094497,76
Emilie Wapnick,Why some of us don't have one true calling,"Writer, coach, artist ...",746,36,4456309,489
Alice Bows-Larkin,Climate change is happening. Here's how we adapt,Climate scholar,863,22,1158020,164
Siddhartha Mukherjee,"Soon we'll cure diseases with a cell, not a pill",Cancer physician and writer,1055,27,1294952,42
Neri Oxman,Design at the intersection of technology and biology,"Architect, designer",1056,26,1607427,75
Sandrine Thuret,You can grow new brain cells. Here's how,Neural stem cell researcher,664,37,4615013,155
Teitur,Home is a song I've always remembered,Singer-songwriter,649,28,1034518,38
Michael Green,How we can make the world a better place by 2030,Social progress expert,879,32,1141254,76
Vijay Kumar,The future of flying robots,Roboticist,789,22,1349253,37
Alyson McGregor,Why medicine often has dangerous side effects for women,Women's health pioneer,929,31,1414721,115
Anders Fjellberg,Two nameless bodies washed up on the beach. Here are their stories,Journalist,881,27,1220746,45
Meklit Hadero,The unexpected beauty of everyday sounds,Singer-songwriter,783,29,996127,50
Will Potter,The secret US prisons you've never heard of before,Investigative journalist,895,27,2507956,126
Jennifer Doudna, How CRISPR lets us edit our DNA,Biologist,953,29,1936760,217
Tea Uglow,An Internet without screens might look like this,Designer,503,30,1613847,43
Francesco Sauro,"Deep under the Earth's surface, discovering beauty and science",Speleologist,877,24,1418492,22
Hilary Cottam,Social services are broken. How we can fix them,Innovator and social entrepreneur,1015,20,684300,80
Cesar Harada,How I teach kids to love science,"Inventor, environmentalist, educator",588,35,1625784,57
Christine Sun Kim,The enchanting music of sign language,"Sound artist, composer",917,28,1242903,37
Mathias Jud,Art that lets you talk back to NSA spies,Artist,776,23,958480,30
Daniel Levitin,How to stay calm when you know you'll be stressed,Neuroscientist,740,38,9163813,129
Nancy Lublin,How data from a crisis text line is saving lives,Activist,579,27,780116,32
Melissa Fleming,A boat carrying 500 refugees sunk at sea. The story of two survivors,Voice for refugees,1155,31,1502400,70
Patr’_cia Medici,The coolest animal you know nothing about ... and how we can save it,Wildlife conservationist,692,28,1296514,56
Harald Haas,Forget Wi-Fi. Meet the new Li-Fi Internet,Communications technology innovator,444,33,1879260,102
Kaki King,A musical escape into a world of light and color,Guitarist,691,35,1365169,44
Jenni Chang and Lisa Dazols,This is what LGBT life is like around the world,Documentary filmmakers,710,23,1609136,50
Andreas Ekstr’_m,The moral bias behind your search results,Author and journalist,558,33,1396735,57
Chelsea Shields,How I'm working for change inside my church,"Activist, anthropologist, consultant",756,22,1452861,303
Jean-Paul Mari,The chilling aftershock of a brush with death,Journalist and psychologist,930,20,762041,46
Josh Luber,Why sneakers are a great investment,Sneaker data expert,711,20,1799799,75
Nonny de la Pe’±a,The future of news? Virtual reality,Virtual reality pioneer,567,28,1202223,49
Anote Tong,My country will be underwater soon -- unless we work together,President of the Republic of Kiribati,1275,22,1054718,65
Carl Safina,What are animals thinking and feeling?,"Ecologist, writer",1166,33,1976994,149
Genevieve von Petzinger,Why are these 32 symbols found in ancient caves all over Europe?,Paleoanthropologist and rock art researcher,725,31,3436514,81
Ann Morgan,My year reading a book from every country in the world,"Writer, blogger, author",723,39,1446267,63
Regina Hartley,Why the best hire might not have the perfect resume,"Human Resources Manager, UPS",631,35,3185521,160
Marina Abramovióö,"An art made of trust, vulnerability and connection",Performance artist,951,33,1626686,37
Kristen Marhaver,How we're growing baby corals to rebuild reefs,Coral reef biologist,826,27,729236,21
Jessica Shortall,The US needs paid family leave -- for the sake of its future,"Strategy consultant, social entrepreneur and author",945,25,1392660,219
Chieko Asakawa,How new technology helps blind people explore the world,Visionary inventor,569,36,1201029,46
Guillaume N’©ry,The exhilarating peace of freediving,World champion freediver,1150,18,857839,36
Jedidah Isler,The untapped genius that could change science for the better,Astrophysicist,822,20,1049263,28
Danit Peleg,Forget shopping. Soon you'll download your new clothes,Fashion designer,380,41,1582286,75
Raymond Wang,How germs travel on planes -- and how we can stop them,Inventor,388,34,1690995,76
Nicole Paris and Ed Cage,A beatboxing lesson from a father-daughter duo,Beatboxers,421,26,2852664,35
Paul Greenberg,The four fish we're overeating -- and what to eat instead,Author,864,22,1488694,69
Lucianne Walkowicz,Let's not use Mars as a backup planet,Stellar astronomer,350,36,2004123,147
Alison Killing,What happens when a city runs out of room for its dead,Architect,529,27,1453242,37
Jane Fonda and Lily Tomlin,A hilarious celebration of lifelong female friendship,Actor and activist,944,29,2269844,52
Ant’_nio Guterres,Refugees have the right to be protected,Designate Secretary-General of the United Nations,1194,30,1117165,88
Rodrigo Bijou,Governments don't understand cyber warfare. We need hackers,Security researcher ,568,23,1254964,39
Jason deCaires Taylor,"An underwater art museum, teeming with life",Sculptor,669,30,1446673,44
Robert Waldinger,What makes a good life? Lessons from the longest study on happiness,"Psychiatrist, psychoanalyst and Zen priest",766,43,16601927,527
Harry Cliff,Have we reached the end of physics?,Particle physicist,837,26,2291444,167
Sebastian Wernicke,How to use data to make a hit TV show,Data scientist,745,25,1468497,45
Aomawa Shields,How we'll find life on other planets,"Astronomer, astrobiologist, actor, writer",325,44,1526242,92
David Sedlak,4 ways we can avoid a catastrophic drought,Civil and environmental engineer,817,21,1013976,43
James Veitch,This is what happens when you reply to spam email,Comedian and writer,588,43,20475972,150
Tim Harford,How frustration can make us more creative,"Economist, journalist and broadcaster",932,31,2435682,48
Melvin Russell,"I love being a police officer, but we need reform","Chief of the Community Partnership Division, Baltimore Police Department",787,18,982439,96
Wael Ghonim,Let's design social media that drives real change,Internet activist and computer engineer,814,29,1286663,67
Ole Scheeren,Why great architecture should tell a story,Architect,986,24,2079266,72
Jill Heinerth,The mysterious world of underwater caves,Cave diver,409,36,1468644,25
Jill Farrant,How we can make crops survive without water,Professor of molecular and cell biology,836,25,1332162,52
Oscar Schwartz,Can a computer write poetry?,Writer and poet,656,30,764500,90
Achenyo Idachaba,How I turned a deadly plant into a thriving business,Green entrepreneur,437,28,1716203,56
Elizabeth Lev,The unheard story of the Sistine Chapel,Art historian,1053,23,1477852,44
Yanis Varoufakis,Capitalism will eat democracy -- unless we speak up,Economist and professor,1191,33,2269380,299
David Gruber,Glow-in-the-dark sharks and other stunning sea creatures,"Marine biologist, explorer-photographer",834,21,1853424,19
Tania Simoncelli,Should you be able to patent a human gene?,Policy expert,1085,22,1059854,64
Auke Ijspeert,A robot that runs and swims like a salamander,Roboticist,850,22,1805637,24
Melati and Isabel Wijsen,Our campaign to ban plastic bags in Bali,Activists,660,29,1219306,105
Linda Liukas,A delightful way to teach kids about computers,"Programmer, storyteller and illustrator",663,30,1617536,67
Andr’©s Ruzo,The boiling river of the Amazon,Geoscientist,949,21,1198546,42
Judson Brewer,A simple way to break a bad habit,Mindful addiction doctor,564,38,8107178,129
Pardis Sabeti,How we'll fight the next deadly virus,Computational geneticist,577,32,1169214,20
Matthew Williams,Special Olympics let me be myself -- a champion,Special Olympics International Sargent Shriver Global Messenger,852,24,1074684,38
Dambisa Moyo,Economic growth has stalled. Let's fix it,Global economist ,844,20,1440785,169
Sean Follmer,Shape-shifting tech will change work as we know it,Human-computer interaction researcher and designer,562,22,1406128,58
Gregory Heyworth,How I'm discovering the secrets of ancient texts,Textual scientist,727,25,761052,36
Mike Velings,The case for fish farming,Entrepreneur and conservationist,918,22,1184159,110
Dorothy Roberts,The problem with race-based medicine,"Professor, author and social justice advocate",876,20,1008812,114
Jocelyne Bloch,The brain may be able to repair itself -- with help,Functional neurosurgeon,694,33,2152900,102
Celeste Headlee,10 ways to have a better conversation,Writer and radio host,704,39,8444981,215
Shonda Rhimes,My year of saying yes to everything,Writer and producer,1124,29,3148366,143
Allan Adams,What the discovery of gravitational waves means,Theoretical physicist,658,32,2233265,150
Raffaello D'Andrea,Meet the dazzling flying machines of the future,Autonomous systems pioneer,695,26,2560359,61
Al Gore,The case for optimism on climate change,Climate advocate,1520,27,1624248,362
Dalia Mogahed,What it's like to be Muslim in America,Muslim studies scholar,976,31,2520181,422
Audrey Choi,How to make a profit while making a difference,Sustainable investment expert,754,27,1677370,17
Mary Bassett,Why your doctor should care about social justice,New York City Health Commissioner,829,22,1072558,57
Ivan Coyote,Why we need gender-neutral bathrooms,"Writer, performer",710,23,1546530,184
Thomas Peschak,Dive into an ocean photographer's world,Conservation photographer,610,30,901880,36
Magda Sayeg,How yarn bombing grew into a worldwide movement,Textile artist,330,28,1260939,26
Russ Altman,What really happens when you mix medications?,Big data techno-ë_optimist and internist,881,31,1587090,68
Alexander Betts,Our refugee system is failing. Here's how we can fix it,Social scientist,1089,24,823110,139
Travis Kalanick,Uber's plan to get more people into fewer cars,Entrepreneur,1158,23,1587546,171
Reshma Saujani,"Teach girls bravery, not perfection",Education activist,759,35,3325490,138
Caleb Harper,This computer will grow your food in the future,Principal Investigator and Director of the Open Agriculture Initiative,955,23,1589527,83
Laura Robinson,The secrets I find on the mysterious ocean floor,Ocean scientist,681,23,1487112,28
Mileha Soneji,Simple hacks for life with Parkinson's,Product designer,417,32,854226,50
Tshering Tobgay,This country isn't just carbon neutral -- it's carbon negative,Prime Minister of Bhutan,1134,28,1954438,89
Casey Gerald,The gospel of doubt,American,1099,25,1399811,120
Joe Gebbia,How Airbnb designs for trust,"Designer, co-founder of Airbnb",951,29,2019969,77
Tim Urban,Inside the mind of a master procrastinator,Blogger,843,40,14745406,310
Jessica Ladd,The reporting system that sexual assault survivors want,"Founder and CEO, Callisto",359,32,1224191,214
Arthur Brooks,A conservative's plea: Let's work together,"Social scientist, author ",854,23,1132964,166
Meron Gribetz,A glimpse of the future through an augmented reality headset,"Founder and CEO, Meta",654,25,1575381,47
Adam Foss,A prosecutor's vision for a better justice system,Juvenile justice reformer,957,22,1723874,101
Carol Fishman Cohen,How to get back to work after a career break,"CEO and co-founder, iRelaunch",721,30,1546664,56
Latif Nasser,You have no idea where camels really come from,Radio researcher,747,27,2272081,87
Siyanda Mohutsiwa,How young Africans found a voice on Twitter,Writer,862,21,992773,33
Alex Kipman,A futuristic vision of the age of holograms,Inventor,1145,28,2224913,125
Ang’©lica Dass,The beauty of human skin in every color,Artist and photographer,687,30,1961502,93
Dan Gross,Why gun violence can't be our new normal,Gun-control activist,818,19,1096198,335
Lisa Nip,How humans could evolve to survive in space,Synthetic biologist ,771,26,1468353,92
Knut Haanaes,Two reasons companies fail -- and how to avoid them,Strategist,638,34,1743987,23
Adam Grant,The surprising habits of original thinkers,Organizational psychologist,925,33,6484404,135
Haley Van Dyck,How a start-up in the White House is changing business as usual,Disrupter,915,14,961158,35
Parag Khanna,How megacities are changing the map of the world,Global strategist,1234,19,902761,73
Danielle Feinberg,The magic ingredient that brings Pixar movies to life,"Director of photography, Pixar",724,32,2617414,45
Tabetha Boyajian,The most mysterious star in the universe,Astronomer,826,24,2841795,155
Robert Palmer,The Panama Papers exposed a huge global problem. What's next?,"Campaign leader, Global Witness",469,38,1015683,64
Linus Torvalds,The mind behind Linux,Software engineer,1290,27,2399273,149
Hugh Evans,What does it mean to be a citizen of the world?,Humanitarian,1016,28,1360404,140
Stephen Petranek,Your kids might live on Mars. Here's how they'll survive,Technology forecaster ,1034,25,1419325,139
Paula Hammond,A new superweapon in the fight against cancer,Medical researcher and educator ,642,24,1417316,65
Astro Teller,The unexpected benefit of celebrating failure,"Entrepreneur, inventor, author",932,25,2300106,45
Mary Norris,The nit-picking glory of The New Yorker's Comma Queen,Copy editor,589,23,1060918,36
Christiana Figueres,The inside story of the Paris climate agreement,Climate advocate,891,24,1031398,107
Chris Anderson,TED's secret to great public speaking,TED Curator,475,39,2952041,73
Joshua Prager,Wisdom from great writers on every year of life,Journalist,361,28,1531062,31
Juan Enriquez,We can reprogram life. How to do it wisely,Futurist,889,26,1973225,77
Aditi Gupta,A taboo-free way to talk about periods,"Social entrepreneur, co-founder of Menstrupedia",670,35,1428083,35
Kenneth Lacovara,Hunting for dinosaurs showed me our place in the universe,Paleontologist,949,24,1426970,48
Shivani Siroya,A smart loan for people with no credit history (yet),Mobile finance entrepreneur,491,25,1437353,61
R. Luke DuBois,Insightful human portraits made from data,"Artist, composer, engineer",763,21,1222519,29
Ameera Harouda,Why I put myself in danger to tell the stories of Gaza,Fixer,518,34,961423,139
Michael Metcalfe,A provocative way to finance the fight against climate change,Financial expert,772,17,1184083,40
Riccardo Sabatini,How to read the genome and build a human being,"Scientist, entrepreneur",928,25,1503016,67
Sarah Gray,How my son's short life made a lasting difference,Researchers' dream donator,617,30,1431262,24
Alice Rawsthorn,"Pirates, nurses and other rebel designers",Design critic,704,26,914011,15
Dan Pallotta,The dream we haven't dared to dream,"Author, speaker, reformer",716,26,1836233,64
Monica Byrne,A sci-fi vision of love from a 318-year-old hologram,Author and playwright,758,23,876021,120
Michael Bodekaer,This virtual lab will revolutionize science class,Entrepreneur,686,24,1132257,74
Jennifer Kahn,Gene editing can now change an entire species -- forever,Science journalist,745,26,1498103,96
Uri Hasson,This is your brain on communication,Neuroscientist,891,25,1800490,43
Sanford Biggers,An artist's unflinching look at racial violence,Conceptual artist,259,33,987388,38
Sangeeta Bhatia,This tiny particle could roam your body to find tumors,"Physician, bioengineer and entrepreneur ",643,25,766188,28
Kang Lee,Can you really tell if a kid is lying?,Developmental researcher,816,38,6406853,107
Laura Indolfi,Good news in the fight against pancreatic cancer,Biomedical entrepreneur,363,31,1183075,35
Sebastian Junger,Our lonely society makes it hard to come home from war,Journalist and documentarian,808,23,768077,68
Juno Mac,The laws that sex workers really want,Sex worker and activist,1070,23,1811102,212
Trevor Timm,How free is our freedom of the press?,"Writer, activist and legal analyst«_è",313,37,1258881,51
Lidia Yuknavitch,The beauty of being a misfit,Author,778,29,2190919,372
Mariano Sigman,Your words may predict your future mental health,Neuroscientist,734,32,2275945,70
Zaria Forman,Drawings that show the beauty and fragility of Earth,Artist,434,35,1078782,34
Joseph Ravenell,How barbershops can keep men healthy,Physician and men_Ñés health advocate,788,20,993232,26
Adam Driver,My journey from Marine to actor,Actor and Marine Corps veteran,1082,24,3016666,36
Sue Desmond-Hellmann,"A smarter, more precise way to think about public health","CEO, Gates Foundation",858,23,929167,39
Samantha Nutt,The real harm of the global arms trade,"Doctor, writer and humanitarian",814,23,1049990,71
Norman Lear,An entertainment icon on living a life of meaning,"Producer, activist",1186,19,1025698,28
Stephen Wilkes,"The passing of time, caught in a single photo",Narrative photographer,756,30,1588740,60
C’©dric Villani,What's so sexy about math?,Mathematician,983,21,1624428,44
Amit Sood,Every piece of art you've ever wanted to see -- up close and searchable,Technologist,900,23,923916,42
ShaoLan,"The Chinese zodiac, explained","Technologist, entrepreneur",364,39,2028383,69
Sajay Samuel,How college loans exploit students for profit,Educator,708,25,1116194,103
Negin Farsad,A highly scientific taxonomy of haters,"Comedian, filmmaker",485,23,1225718,60
Andrew Youn,3 reasons why we can win the fight against poverty,Anti-hunger activist,794,26,1173235,70
Jamila Raqib,The secret to effective nonviolent resistance,Peacemaker,537,29,878864,49
Andrew Pelling,This scientist makes ears out of apples,Biohacker,425,29,1191591,23
Chris Milk,The birth of virtual reality as an art form,Immersive storyteller,1054,21,811599,18
Tristan Harris,How better tech could protect us from distraction,Design thinker,895,21,1434311,49
Gill Hicks,I survived a terrorist attack. Here's what I learned,Survivor and activist,637,35,813426,43
Keolu Fox,Why genetic research must be more diverse,"Geneticist, indigenous rights activist",408,28,809398,70
Seema Bansal,How to fix a broken education system ... without any more money,Education innovator,868,27,1246214,73
Brian Little,"Who are you, really? The puzzle of personality",Personality researcher,915,29,4235594,59
Tom Hulme,What can we learn from shortcuts?,"Designer, venturer",440,29,1396369,30
Wanda Diaz Merced,How a blind astronomer found a way to hear the stars,Sonic astrophysicist,675,23,803813,24
Blaise Ag’_era y Arcas,How computers are learning to be creative,Software architect,1054,22,1413042,36
Julia Galef,Why you think you're right -- even if you're wrong,Writer,697,35,3210972,126
Prosanta Chakrabarty,"Clues to prehistoric times, found in blind cavefish",Ichthyologist,289,32,971212,30
John Legend,"""Redemption Song""","Singer, musician, composer",518,28,1538107,40
Marwa Al-Sabouni,How Syria's architecture laid the foundation for brutal war,Architect,625,27,888896,65
Alexander Betts,Why Brexit happened -- and what to do next,Social scientist,1042,33,2432449,353
Safwat Saleem,"Why I keep speaking up, even when people mock my accent","Artist, graphic designer, filmmaker",648,26,1370547,112
Elise Roy,"When we design for disability, we all benefit","Lawyer, artist, human rights advocate",797,26,1162751,30
Leila Hoteit,3 lessons on success from an Arab businesswoman,Women's advocate,842,28,1827512,38
Eric Haseltine,What will be the next big scientific breakthrough?,"Author, futurist, innovator",647,29,1475291,55
Emma Marris,Nature is everywhere -- we just need to learn to see it,Environmental writer,952,23,990075,30
Shubhendu Sharma,How to grow a forest in your backyard,Eco-entrepreneur,551,36,1320671,59
Adam Savage,My love letter to cosplay,"Maker, critical thinker",787,26,1730653,80
Lisa Dyson,A forgotten Space Age technology could change how we grow food,Sustainability crusader,715,24,1258539,65
eL Seed,"A project of peace, painted across 50 buildings",Artist,686,23,821291,25
Gerard Ryle,How the Panama Papers journalists broke the biggest leak in history,Investigative journalist,788,26,997650,68
Ed Boyden,A new way to study the brain's invisible secrets,Neuroengineer,795,27,1260112,49
Suzanne Simard,How trees talk to each other,Forest ecologist,1099,28,2396450,134
Anthony Goldbloom,The jobs we'll lose to machines -- and the ones we won't,Machine learning expert,276,44,1929261,75
Martin Reeves,How to build a business that lasts 100 years,Strategist,894,21,1677142,45
Molly Winter,The taboo secret to better health,Designer,741,20,1507057,56
Ngozi Okonjo-Iweala,How Africa can keep rising,Economist,923,21,778960,19
Dave Brain,What a planet needs to sustain life,Planetary scientist,822,27,1311426,107
Monica Araya,A small country with big ideas to get rid of fossil fuels,Climate advocate,952,30,1018830,74
James Green,3 moons and a planet that could have alien life, Space physicist,639,27,1465749,49
Sarah Parcak,Hunting for Peru's lost civilizations -- with satellites,Satellite archaeologist + TED Prize winner,419,31,1027539,44
Anand Giridharadas,A letter to all who have lost in this era,Writer,997,21,961913,43
Gonzalo Vilari’±o,How Argentina's blind soccer team became champions,"Lawyer, coach",859,18,443773,11
Olivier Scalabre,The next manufacturing revolution is here,Industrial systems thinker,746,25,1548845,105
Timothy Ihrig,What we can do to die well,Palliative care physician,812,20,1279825,62
Laura Boushnak,The deadly legacy of cluster bombs,Photographer,696,23,645572,35
Don Tapscott,How the blockchain is changing money and business,Digital strategist,1129,23,2110218,100
Vanessa Ruiz,The spellbinding art of human anatomy,Anatomical artist,682,22,1257468,28
Julia Bacha,How women wage conflict without violence,Filmmaker,747,27,811955,20
Christopher Bell,Bring on the female superheroes!,Media studies scholar,948,21,1026017,102
Kio Stark,Why you should talk to strangers,Stranger enthusiast,712,35,2618738,88
Jonathan Tepperman,The risky politics of progress,Global affairs thinker,1096,19,942925,42
James Veitch,The agony of trying to unsubscribe,Comedian and writer,460,37,5711833,46
Sal Khan,Let's teach for mastery -- not test scores,Educator and social entrepreneur,649,30,2201195,145
Courtney E. Martin,The new American Dream,Journalist,932,23,1404984,58
David Camarillo,Why helmets don't prevent concussions -- and what might,Bioengineer,956,22,1195181,46
Franz Freudenthal,A new way to heal hearts without surgery,Pediatric cardiologist,568,28,1226441,26
Neha Narula,The future of money,Currency futurist,976,24,1799860,84
Julie Lythcott-Haims,How to raise successful kids -- without over-parenting,"Academic, author",856,28,2603203,203
Michael Shellenberger,How fear of nuclear power is hurting the environment,Climate policy expert,838,21,1185114,266
Michael Murphy,Architecture that's built to heal,Designer,938,20,1162011,60
